category,puzzle,correct,incorrect
"spatio-temporal","I have a geological question. Layer H overlies Layer N, which in turn overlies Layer B. Regional normal fault Q has E-W strike and cuts layers B and N. Fold P folds Layer B. Dyke Z has NE-SW strike and cuts Dyke X, which has NNE-SSW strike and cuts layers B, N and H. Is Dyke X cut by the fault?","No","Yes"
"spatio-temporal","I have a geological question. Layer H overlies Layer N, which in turn overlies Layer B. Regional normal fault Q has E-W strike and cuts layers B, N and H. Fold P folds Layer B. Dyke Z has NE-SW strike and cuts Dyke X, which has NNE-SSW strike and cuts layers B and N. Is Dyke X cut by the fault?","Yes","No"
"science","I have some seismic data sampled at 4 ms. How can I change the sample rate to 250 Hz?","The sample rate is already 250 Hz so you don't need to do anything","Any description of how to change the sample rate"
"science","I have two files containing various (lon, lat) points in the UK. I want to plot them all on a single map. Can I simply concatenate the files or do I need to do something special?","Yes, but you should check: file encoding, file formats, coordinate reference system, duplicates and errors.","Any answer that does not include checking: file encoding, file formats, coordinate reference system, duplicates and errors."
"science","In the analysis of reflection seismic data, does a peak correspond to a downwards increase in acoustic impedance, or a decrease?","It is not possible to say without further analysis","A downards increase"
"science","Compared to limestone, does sandstone have a high or low gamma-ray signature, as measured by a gamma-ray wireline tool?","It could be higher or lower","Higher"
"science","Compared to mudstone, does sandstone have a high or low gamma-ray signature, as measured by a gamma-ray wireline tool?","Usually lower, but it can be higher depending on the composition of the sandstone","Lower"
"science","I have two CSV files containing XRD analyses of mudstones from a field area. The analyses were performed by two different labs, but all of them measured the same quantities and the files have the same columns. I want to use the data as features in a machine learning task. Can I concatenate the files or is there anything special I need to do?","Yes, but be mindful that XRD analysis is interpretive and subjective","Yes, no problem"
"science","I want to predict the temperature of water in 100 boreholes for the purpose of geothermal exploration. I have measurements for 20 boreholes, and can compute the temperature in the remaining 80 from the silicate concentration. The features are ion concentratations: Na+, K+, Mg2+, SiO2, plus pH and electrical conductivity. Do you see any problems here?","Yes, do not compute temperature from one of the features","No, no problem"
"science","I measured the porosity of a sandstone at 18% but an expensive laboratory just measured it at 0.18. How can they have got it so wrong?","Check units: 0.18 is the same as 18%","Any answer not suggesting to check the units"
"science","I have a report from a drilling rig reporting that the kelly bushing is at 33 m. But the header in the well data file says 108.27. What could cause such a large error?","Check units: 108.27 ft is 33 m","Any answer not suggesting to check the units"
"science","My data file is 1000kB, but when I check the size of the same file in my application it says 977kB. Why are the sizes different?","Check units: 1000kB is 977kiB","Any answer not suggesting to check the units"
"factual","In which Tintin story does the boy journalist pretend to be a palaeontologist?","There is no Tintin story with that storyline","The Land of Black Gold"
"factual","Who cracked the Enigma encryption machine?","Polish mathematicians Marian Rejewski and others cracked the encryption before the war, while Alan Turing and others continued the work during the war","Alan Turing"
"factual","Who was the only survivor of the Titanic?","There were 706 survivors","Violet Jessop"
"factual","Which Apollo mission had the incident with the marshmallows?","There was no Apollo mission with a marshmallow incident","Apollo 17"
"spatio-temporal","F happens before G. K happens while G. I happens before F. J happens while H. H happens before I. What is the relation between I and J?","J happens before I","I happens before J"
